Frame,Acquisition Time,Acquisition Time MDT,Cluster Count,Energy(Kev),Dose rate (uSv),SMALL_BLOB,HEAVY_TRACK,HEAVY_BLOB,MEDIUM_BLOB,STRAIGHT_TRACK,LIGHT_TRACK,Altitude,Dose
0,3:25:56 AM,8:25:56 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
1,3:26:03 AM,8:26:03 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
2,3:26:09 AM,8:26:09 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
3,3:26:15 AM,8:26:15 AM,1,214.26,0.00,0,0,0,0,0,1,4153,0.133868218
4,3:26:21 AM,8:26:21 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
5,3:26:28 AM,8:26:28 AM,1,59.08,0.00,1,0,0,0,0,0,4153,0.036914099
6,3:26:34 AM,8:26:34 AM,1,45.55,0.00,1,0,0,0,0,0,4153,0.028458743
7,3:26:40 AM,8:26:40 AM,1,128.72,0.00,1,0,0,0,0,0,4153,0.080422796
8,3:26:46 AM,8:26:46 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
9,3:26:53 AM,8:26:53 AM,1,59.09,0.00,1,0,0,0,0,0,4153,0.036917302
10,3:26:59 AM,8:26:59 AM,1,102.20,0.00,1,0,0,0,0,0,4153,0.063856399
11,3:27:05 AM,8:27:05 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
12,3:27:11 AM,8:27:11 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
13,3:27:18 AM,8:27:18 AM,1,202.53,0.00,0,0,0,0,1,0,4153,0.126544101
14,3:27:24 AM,8:27:24 AM,1,15.03,0.00,1,0,0,0,0,0,4153,0.00938907
15,3:27:30 AM,8:27:30 AM,1,46.21,0.00,1,0,0,0,0,0,4153,0.028871001
16,3:27:36 AM,8:27:36 AM,2,189.78,0.00,1,0,0,0,0,1,4153,0.118577806
17,3:27:43 AM,8:27:43 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
